Год;Квартал;Федеральный округ;Регион;Категория ТСР;Количество инвалидов, обеспеченных ТСР и услугами, чел.;Количество ТСР и услуг, которыми обеспечены инвалиды, шт.;Расходы на обеспечение инвалидов ТСР и услугами, млн. руб.;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Кресло-стулья с санитарным оснащением;148,0;148,0;0,48;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Медицинские термометры и тонометры с речевым выходом;21,0;28,0;0,04;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Ортопедическая обувь;417,0;1659,0;4,15;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Почтовые услуги;38,0;52,0;0,03;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Приспособления для одевания, раздевания и захвата предметов;8,0;14,0;0,02;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Проезд;8,0;19,0;0,01;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Протезы, в том числе эндопротезы, и ортезы;602,0;1307,0;31,36;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Противопролежневые матрацы и подушки;207,0;238,0;0,87;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Ремонт ТСР и ПОИ;17,0;22,0;1,7;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Сигнализаторы звука световые и вибрационные;57,0;57,0;0,59;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;180,0;321,0;6,32;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);1,0;1,0;0,02;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Специальная одежда;16,0;22,0;0,09;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Специальные средства при нарушениях функций выделения (моче- и калоприемники);454,0;73456,0;5,55;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;100,0;120,0;1,6;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;2,0;2,0;0,02;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Телефонные устройства с текстовым выходом;3,0;3,0;0,01;
2015;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;Трости опорные и тактильные, костыли, опоры, поручни;571,0;699,0;0,67;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Абсорбирующее белье, подгузники;308,0;137461,0;3,35;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;28,0;31,0;0,81;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Кресло-стулья с санитарным оснащением;28,0;28,0;0,17;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Кресло-стулья с санитарным оснащением;28,0;28,0;0,17;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Медицинские термометры и тонометры с речевым выходом;9,0;15,0;0,02;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Ортопедическая обувь;94,0;532,0;1,95;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Почтовые услуги;1,0;1,0;0,0;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Проезд;13,0;97,0;0,11;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Протезы, в том числе эндопротезы, и ортезы;130,0;521,0;11,38;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Противопролежневые матрацы и подушки;23,0;30,0;0,21;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Ремонт ТСР и ПОИ;3,0;3,0;0,2;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;29,0;50,0;0,45;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);1,0;1,0;0,02;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Специальные средства при нарушениях функций выделения (моче- и калоприемники);49,0;8682,0;0,83;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;11,0;12,0;0,22;
2015;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;Трости опорные и тактильные, костыли, опоры, поручни;358,0;533,0;0,92;
2015;3;Центральный Федеральный округ;Белгородская область;Абсорбирующее белье, подгузники;4575,0;1241139,0;25,27;
2015;3;Центральный Федеральный округ;Белгородская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;669,0;749,0;9,03;
2015;3;Центральный Федеральный округ;Белгородская область;Кресло-стулья с санитарным оснащением;260,0;260,0;1,14;
2015;3;Центральный Федеральный округ;Белгородская область;Медицинские термометры и тонометры с речевым выходом;112,0;112,0;0,42;
2015;3;Центральный Федеральный округ;Белгородская область;Ортопедическая обувь;600,0;2107,0;3,21;
2015;3;Центральный Федеральный округ;Белгородская область;Почтовые услуги;201,0;238,0;0,06;
2015;3;Центральный Федеральный округ;Белгородская область;Предоставление услуг по сурдопереводу;153,0;3000,0;1,5;
2015;3;Центральный Федеральный округ;Белгородская область;Приспособления для одевания, раздевания и захвата предметов;10,0;15,0;0,02;
2015;3;Центральный Федеральный округ;Белгородская область;Протезы, в том числе эндопротезы, и ортезы;874,0;2096,0;18,46;
2015;3;Центральный Федеральный округ;Белгородская область;Противопролежневые матрацы и подушки;232,0;248,0;0,59;
2015;3;Центральный Федеральный округ;Белгородская область;Ремонт ТСР и ПОИ;12,0;19,0;0,27;
2015;3;Центральный Федеральный округ;Белгородская область;Сигнализаторы звука световые и вибрационные;302,0;302,0;2,03;
2015;3;Центральный Федеральный округ;Белгородская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;145,0;172,0;3,55;
2015;3;Центральный Федеральный округ;Белгородская область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);2,0;2,0;0,04;
2015;3;Центральный Федеральный округ;Белгородская область;Специальная одежда;1,0;1,0;0,01;
2015;3;Центральный Федеральный округ;Белгородская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);693,0;117732,0;10,14;
2015;3;Центральный Федеральный округ;Белгородская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;40,0;40,0;0,94;
2015;3;Центральный Федеральный округ;Белгородская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;2,0;2,0;0,01;
2015;3;Центральный Федеральный округ;Белгородская область;Телефонные устройства с текстовым выходом;160,0;160,0;0,23;
2015;3;Центральный Федеральный округ;Белгородская область;Трости опорные и тактильные, костыли, опоры, поручни;718,0;1052,0;2,97;
2015;3;Центральный Федеральный округ;Владимирская область;Абсорбирующее белье, подгузники;5989,0;950273,0;20,44;
2015;3;Центральный Федеральный округ;Владимирская область;Голосообразующие аппараты;2,0;2,0;0,04;
2015;3;Центральный Федеральный округ;Владимирская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;245,0;248,0;5,62;
2015;3;Центральный Федеральный округ;Владимирская область;Кресло-стулья с санитарным оснащением;17,0;17,0;0,06;
2015;3;Центральный Федеральный округ;Владимирская область;Медицинские термометры и тонометры с речевым выходом;34,0;47,0;0,06;
2015;3;Центральный Федеральный округ;Владимирская область;Ортопедическая обувь;1079,0;4458,0;16,28;
2015;3;Центральный Федеральный округ;Владимирская область;Почтовые услуги;77,0;147,0;0,01;
2015;3;Центральный Федеральный округ;Владимирская область;Предоставление услуг по сурдопереводу;169,0;1452,0;0,52;
2015;3;Центральный Федеральный округ;Владимирская область;Проезд;5,0;8,0;0,0;
2015;3;Центральный Федеральный округ;Владимирская область;Протезы, в том числе эндопротезы, и ортезы;1490,0;3086,0;35,46;
2015;3;Центральный Федеральный округ;Владимирская область;Противопролежневые матрацы и подушки;164,0;164,0;0,57;
2015;3;Центральный Федеральный округ;Владимирская область;Ремонт ТСР и ПОИ;29,0;54,0;0,32;
2015;3;Центральный Федеральный округ;Владимирская область;Сигнализаторы звука световые и вибрационные;42,0;42,0;0,32;
2015;3;Центральный Федеральный округ;Владимирская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;43,0;55,0;1,16;
2015;3;Центральный Федеральный округ;Владимирская область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);2,0;2,0;0,04;
2015;3;Центральный Федеральный округ;Владимирская область;Специальная одежда;3,0;6,0;0,0;
2015;3;Центральный Федеральный округ;Владимирская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);1180,0;121218,0;8,19;
2015;3;Центральный Федеральный округ;Владимирская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;8,0;8,0;0,1;
2015;3;Центральный Федеральный округ;Владимирская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;8,0;8,0;0,1;
2015;3;Центральный Федеральный округ;Владимирская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;4,0;4,0;0,02;
2015;3;Центральный Федеральный округ;Владимирская область;Телефонные устройства с текстовым выходом;4,0;4,0;0,01;
2015;3;Центральный Федеральный округ;Владимирская область;Трости опорные и тактильные, костыли, опоры, поручни;996,0;1287,0;0,65;
2015;3;Центральный Федеральный округ;Ивановская область;Абсорбирующее белье, подгузники;3819,0;1679393,0;35,24;
2015;3;Центральный Федеральный округ;Ивановская область;Голосообразующие аппараты;4,0;4,0;0,07;
2015;3;Центральный Федеральный округ;Ивановская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;317,0;350,0;5,4;
2015;3;Центральный Федеральный округ;Ивановская область;Кресло-стулья с санитарным оснащением;485,0;485,0;2,58;
2015;3;Центральный Федеральный округ;Ивановская область;Медицинские термометры и тонометры с речевым выходом;70,0;109,0;0,17;
2015;3;Центральный Федеральный округ;Ивановская область;Ортопедическая обувь;687,0;2117,0;8,23;
2015;3;Центральный Федеральный округ;Ивановская область;Почтовые услуги;437,0;558,0;0,05;
2015;3;Центральный Федеральный округ;Ивановская область;Предоставление услуг по сурдопереводу;119,0;2135,0;0,75;
2015;3;Центральный Федеральный округ;Ивановская область;Проезд;2,0;2,0;0,01;
2015;3;Центральный Федеральный округ;Ивановская область;Протезы, в том числе эндопротезы, и ортезы;1412,0;2123,0;26,27;
2015;3;Центральный Федеральный округ;Ивановская область;Противопролежневые матрацы и подушки;53,0;54,0;0,1;
2015;3;Центральный Федеральный округ;Ивановская область;Ремонт ТСР и ПОИ;19,0;19,0;0,4;
2015;3;Центральный Федеральный округ;Ивановская область;Сигнализаторы звука световые и вибрационные;47,0;47,0;0,18;
2015;3;Центральный Федеральный округ;Ивановская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;187,0;289,0;2,16;
2015;3;Центральный Федеральный округ;Ивановская область;Собаки-проводники с комплектом снаряжения;1,0;1,0;0,1;
2015;3;Центральный Федеральный округ;Ивановская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);687,0;136476,0;11,73;
2015;3;Центральный Федеральный округ;Ивановская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;99,0;101,0;1,32;
2015;3;Центральный Федеральный округ;Ивановская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;21,0;21,0;0,19;
2015;3;Центральный Федеральный округ;Ивановская область;Телефонные устройства с текстовым выходом;21,0;21,0;0,03;
2015;3;Центральный Федеральный округ;Ивановская область;Трости опорные и тактильные, костыли, опоры, поручни;1211,0;1521,0;1,41;
2015;3;Центральный Федеральный округ;Калужская область;Абсорбирующее белье, подгузники;3763,0;1307817,0;21,55;
2015;3;Центральный Федеральный округ;Калужская область;Голосообразующие аппараты;2,0;2,0;0,07;
2015;3;Центральный Федеральный округ;Калужская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;171,0;185,0;3,48;
2015;3;Центральный Федеральный округ;Калужская область;Кресло-стулья с санитарным оснащением;76,0;76,0;0,27;
2015;3;Центральный Федеральный округ;Калужская область;Медицинские термометры и тонометры с речевым выходом;36,0;57,0;0,07;
2015;3;Центральный Федеральный округ;Калужская область;Ортопедическая обувь;775,0;2352,0;6,64;
2015;3;Центральный Федеральный округ;Калужская область;Почтовые услуги;128,0;146,0;0,02;
2015;3;Центральный Федеральный округ;Калужская область;Предоставление услуг по сурдопереводу;64,0;250,0;0,1;
2015;3;Центральный Федеральный округ;Калужская область;Приспособления для одевания, раздевания и захвата предметов;2,0;3,0;0,0;
2015;3;Центральный Федеральный округ;Калужская область;Проезд;3,0;6,0;0,0;
2015;3;Центральный Федеральный округ;Калужская область;Протезы, в том числе эндопротезы, и ортезы;1288,0;3666,0;27,46;
2015;3;Центральный Федеральный округ;Калужская область;Противопролежневые матрацы и подушки;184,0;211,0;0,75;
2015;3;Центральный Федеральный округ;Калужская область;Ремонт ТСР и ПОИ;20,0;23,0;0,74;
2015;3;Центральный Федеральный округ;Калужская область;Сигнализаторы звука световые и вибрационные;44,0;50,0;0,18;
2015;3;Центральный Федеральный округ;Калужская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;472,0;794,0;5,62;
2015;3;Центральный Федеральный округ;Калужская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);780,0;97235,0;7,21;
2015;3;Центральный Федеральный округ;Калужская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;32,0;37,0;0,36;
2015;3;Центральный Федеральный округ;Калужская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;27,0;27,0;0,24;
2015;3;Центральный Федеральный округ;Калужская область;Телефонные устройства с текстовым выходом;22,0;22,0;0,04;
2015;3;Центральный Федеральный округ;Калужская область;Трости опорные и тактильные, костыли, опоры, поручни;560,0;802,0;1,02;
2015;3;Центральный Федеральный округ;Костромская область;Абсорбирующее белье, подгузники;2139,0;697392,0;10,58;
2015;3;Центральный Федеральный округ;Костромская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;370,0;424,0;5,76;
2015;3;Центральный Федеральный округ;Костромская область;Кресло-стулья с санитарным оснащением;1,0;1,0;0,0;
2015;3;Центральный Федеральный округ;Костромская область;Медицинские термометры и тонометры с речевым выходом;29,0;41,0;0,05;
2015;3;Центральный Федеральный округ;Костромская область;Ортопедическая обувь;230,0;679,0;2,08;
2015;3;Центральный Федеральный округ;Костромская область;Почтовые услуги;68,0;71,0;0,01;
2015;3;Центральный Федеральный округ;Костромская область;Предоставление услуг по сурдопереводу;92,0;611,0;0,21;
2015;3;Центральный Федеральный округ;Костромская область;Приспособления для одевания, раздевания и захвата предметов;2,0;2,0;0,0;
2015;3;Центральный Федеральный округ;Костромская область;Проезд;15,0;29,0;0,02;
2015;3;Центральный Федеральный округ;Костромская область;Протезы, в том числе эндопротезы, и ортезы;390,0;1376,0;9,85;
2015;3;Центральный Федеральный округ;Костромская область;Противопролежневые матрацы и подушки;45,0;45,0;0,09;
2015;3;Центральный Федеральный округ;Костромская область;Ремонт ТСР и ПОИ;28,0;31,0;0,48;
2015;3;Центральный Федеральный округ;Костромская область;Сигнализаторы звука световые и вибрационные;38,0;40,0;0,22;
2015;3;Центральный Федеральный округ;Костромская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;215,0;336,0;3,05;
2015;3;Центральный Федеральный округ;Костромская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);262,0;48180,0;3,51;
2015;3;Центральный Федеральный округ;Костромская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;77,0;96,0;0,85;
2015;3;Центральный Федеральный округ;Костромская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;47,0;47,0;0,39;
2015;3;Центральный Федеральный округ;Костромская область;Телефонные устройства с текстовым выходом;38,0;38,0;0,06;
2015;3;Центральный Федеральный округ;Костромская область;Трости опорные и тактильные, костыли, опоры, поручни;22,0;34,0;0,24;
2015;3;Центральный Федеральный округ;Липецкая область;Абсорбирующее белье, подгузники;2575,0;507398,0;6,31;
2015;3;Центральный Федеральный округ;Липецкая область;Голосообразующие аппараты;1,0;1,0;0,03;
2015;3;Центральный Федеральный округ;Липецкая область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;266,0;291,0;5,14;
2015;3;Центральный Федеральный округ;Липецкая область;Кресло-стулья с санитарным оснащением;11,0;11,0;0,04;
2015;3;Центральный Федеральный округ;Липецкая область;Медицинские термометры и тонометры с речевым выходом;36,0;53,0;0,08;
2015;3;Центральный Федеральный округ;Липецкая область;Ортопедическая обувь;587,0;2354,0;5,24;
2015;3;Центральный Федеральный округ;Липецкая область;Предоставление услуг по сурдопереводу;80,0;498,5;0,11;
2015;3;Центральный Федеральный округ;Липецкая область;Протезы, в том числе эндопротезы, и ортезы;385,0;1080,0;12,4;
2015;3;Центральный Федеральный округ;Липецкая область;Противопролежневые матрацы и подушки;231,0;279,0;0,53;
2015;3;Центральный Федеральный округ;Липецкая область;Ремонт ТСР и ПОИ;20,0;23,0;0,36;
2015;3;Центральный Федеральный округ;Липецкая область;Сигнализаторы звука световые и вибрационные;31,0;31,0;0,2;
2015;3;Центральный Федеральный округ;Липецкая область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;107,0;169,0;5,47;
2015;3;Центральный Федеральный округ;Липецкая область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);3,0;3,0;0,06;
2015;3;Центральный Федеральный округ;Липецкая область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);562,0;87113,0;3,87;
2015;3;Центральный Федеральный округ;Липецкая область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;32,0;35,0;0,34;
2015;3;Центральный Федеральный округ;Липецкая область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;11,0;11,0;0,11;
2015;3;Центральный Федеральный округ;Липецкая область;Телефонные устройства с текстовым выходом;11,0;11,0;0,03;
2015;3;Центральный Федеральный округ;Липецкая область;Трости опорные и тактильные, костыли, опоры, поручни;221,0;325,0;0,37;
2015;3;Центральный Федеральный округ;Москва;Абсорбирующее белье, подгузники;42,0;16224,0;0,38;
2015;3;Центральный Федеральный округ;Москва;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;18,0;23,0;0,35;
2015;3;Центральный Федеральный округ;Москва;Кресло-стулья с санитарным оснащением;5,0;5,0;0,03;
2015;3;Центральный Федеральный округ;Москва;Кресло-стулья с санитарным оснащением;5,0;5,0;0,03;
2015;3;Центральный Федеральный округ;Москва;Ортопедическая обувь;4,0;20,0;0,07;
2015;3;Центральный Федеральный округ;Москва;Протезы, в том числе эндопротезы, и ортезы;3,0;6,0;0,17;
2015;3;Центральный Федеральный округ;Москва;Противопролежневые матрацы и подушки;7,0;10,0;0,07;
2015;3;Центральный Федеральный округ;Москва;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;1,0;4,0;0,04;
2015;3;Центральный Федеральный округ;Москва;Специальные средства при нарушениях функций выделения (моче- и калоприемники);6,0;2784,0;0,21;
2015;3;Центральный Федеральный округ;Москва;Трости опорные и тактильные, костыли, опоры, поручни;1,0;1,0;0,0;
2015;3;Центральный Федеральный округ;Московская область;Абсорбирующее белье, подгузники;7788,0;2180592,0;54,57;
2015;3;Центральный Федеральный округ;Московская область;Голосообразующие аппараты;1,0;1,0;0,01;
2015;3;Центральный Федеральный округ;Московская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;485,0;560,0;23,94;
2015;3;Центральный Федеральный округ;Московская область;Кресло-стулья с санитарным оснащением;49,0;50,0;0,25;
2015;3;Центральный Федеральный округ;Московская область;Медицинские термометры и тонометры с речевым выходом;6,0;6,0;0,01;
2015;3;Центральный Федеральный округ;Московская область;Ортопедическая обувь;1097,0;4172,0;15,43;
2015;3;Центральный Федеральный округ;Московская область;Почтовые услуги;953,0;3255,0;0,28;
2015;3;Центральный Федеральный округ;Московская область;Предоставление услуг по сурдопереводу;27,0;819,0;0,33;
2015;3;Центральный Федеральный округ;Московская область;Протезы, в том числе эндопротезы, и ортезы;2184,0;3677,0;73,51;
2015;3;Центральный Федеральный округ;Московская область;Противопролежневые матрацы и подушки;176,0;206,0;0,86;
2015;3;Центральный Федеральный округ;Московская область;Ремонт ТСР и ПОИ;8,0;11,0;0,41;
2015;3;Центральный Федеральный округ;Московская область;Сигнализаторы звука световые и вибрационные;7,0;7,0;0,02;
2015;3;Центральный Федеральный округ;Московская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;311,0;660,0;14,73;
2015;3;Центральный Федеральный округ;Московская область;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);4,0;5,0;0,1;
2015;3;Центральный Федеральный округ;Московская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);3056,0;339205,0;40,71;
2015;3;Центральный Федеральный округ;Московская область;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;3,0;3,0;0,02;
2015;3;Центральный Федеральный округ;Московская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;18,0;18,0;0,13;
2015;3;Центральный Федеральный округ;Московская область;Телефонные устройства с текстовым выходом;9,0;9,0;0,03;
2015;3;Центральный Федеральный округ;Московская область;Трости опорные и тактильные, костыли, опоры, поручни;524,0;609,0;0,7;
2015;3;Центральный Федеральный округ;Рязанская область;Абсорбирующее белье, подгузники;223,0;46181,0;1,01;
2015;3;Центральный Федеральный округ;Рязанская область;Голосообразующие аппараты;3,0;3,0;0,08;
2015;3;Центральный Федеральный округ;Рязанская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;6,0;7,0;0,09;
2015;3;Центральный Федеральный округ;Рязанская область;Кресло-стулья с санитарным оснащением;4,0;4,0;0,01;
2015;3;Центральный Федеральный округ;Рязанская область;Ортопедическая обувь;105,0;227,0;0,68;
2015;3;Центральный Федеральный округ;Рязанская область;Предоставление услуг по сурдопереводу;7,0;25,0;0,01;
2015;3;Центральный Федеральный округ;Рязанская область;Приспособления для одевания, раздевания и захвата предметов;1,0;1,0;0,0;
2015;3;Центральный Федеральный округ;Рязанская область;Протезы, в том числе эндопротезы, и ортезы;155,0;280,0;1,6;
2015;3;Центральный Федеральный округ;Рязанская область;Противопролежневые матрацы и подушки;2,0;2,0;0,01;
2015;3;Центральный Федеральный округ;Рязанская область;Ремонт ТСР и ПОИ;5,0;5,0;0,01;
2015;3;Центральный Федеральный округ;Рязанская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;55,0;92,0;0,39;
2015;3;Центральный Федеральный округ;Рязанская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);67,0;4524,0;0,38;
2015;3;Центральный Федеральный округ;Рязанская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;2,0;2,0;0,01;
2015;3;Центральный Федеральный округ;Рязанская область;Телефонные устройства с текстовым выходом;2,0;2,0;0,0;
2015;3;Центральный Федеральный округ;Рязанская область;Трости опорные и тактильные, костыли, опоры, поручни;21,0;21,0;0,03;
2015;3;Центральный Федеральный округ;Смоленская область;Абсорбирующее белье, подгузники;3486,0;689861,0;11,13;
2015;3;Центральный Федеральный округ;Смоленская область;Голосообразующие аппараты;1,0;1,0;0,01;
2015;3;Центральный Федеральный округ;Смоленская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;577,0;588,0;9,49;
2015;3;Центральный Федеральный округ;Смоленская область;Кресло-стулья с санитарным оснащением;42,0;42,0;0,11;
2015;3;Центральный Федеральный округ;Смоленская область;Медицинские термометры и тонометры с речевым выходом;25,0;25,0;0,06;
2015;3;Центральный Федеральный округ;Смоленская область;Ортопедическая обувь;637,0;2418,0;9,39;
2015;3;Центральный Федеральный округ;Смоленская область;Почтовые услуги;50,0;63,0;0,01;
2015;3;Центральный Федеральный округ;Смоленская область;Предоставление услуг по сурдопереводу;174,0;1194,0;0,45;
2015;3;Центральный Федеральный округ;Смоленская область;Приспособления для одевания, раздевания и захвата предметов;2,0;2,0;0,0;
2015;3;Центральный Федеральный округ;Смоленская область;Проезд;1,0;2,0;0,0;
2015;3;Центральный Федеральный округ;Смоленская область;Протезы, в том числе эндопротезы, и ортезы;893,0;1207,0;16,41;
2015;3;Центральный Федеральный округ;Смоленская область;Противопролежневые матрацы и подушки;16,0;16,0;0,07;
2015;3;Центральный Федеральный округ;Смоленская область;Ремонт ТСР и ПОИ;22,0;24,0;0,72;
2015;3;Центральный Федеральный округ;Смоленская область;Сигнализаторы звука световые и вибрационные;28,0;28,0;0,13;
2015;3;Центральный Федеральный округ;Смоленская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;90,0;132,0;2,42;
