Год;Месяц;Федеральный округ;Регион;Профиль лечения;Количество путевок на СКЛ, выданных ГЛК и сопровождающим лицам, шт.;Расходы на обеспечение ГЛК и сопровождающих лиц путевками на СКЛ, млн. руб.;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни глаза;117,0;2,36;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни кожи и подкожной клетчатки;8,0;0,19;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни мочеполовой системы;47,0;1,1;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни нервной системы;175,0;4,03;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни опорно-двигательного аппарата;142,0;2,96;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов дыхания;44,0;0,91;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов пищеварения;78,0;1,72;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни системы кровообращения;287,0;5,97;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни уха;22,0;0,47;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни эндокринной системы;60,0;1,36;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Многопрофильный;46,0;1,01;
2015;5;Северо-Кавказский Федеральный округ;Чеченская республика;Последствия травм спинного мозга;2,0;0,07;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни глаза;18,0;0,35;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни мочеполовой системы;6,0;0,12;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни нервной системы;45,0;1,08;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни опорно-двигательного аппарата;23,0;0,43;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни органов дыхания;5,0;0,1;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни органов пищеварения;38,0;0,73;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни системы кровообращения;97,0;1,95;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни уха;29,0;0,6;
2015;5;Сибирский Федеральный округ;Алтайский край;Болезни эндокринной системы;29,0;0,59;
2015;5;Сибирский Федеральный округ;Алтайский край;Многопрофильный;387,0;8,6;
2015;5;Сибирский Федеральный округ;Алтайский край;Последствия травм спинного мозга;6,0;0,19;
2015;5;Сибирский Федеральный округ;Республика Алтай;Болезни системы кровообращения;107,0;2,28;
2015;5;Сибирский Федеральный округ;Республика Хакасия;Болезни системы кровообращения;21,0;0,52;
2015;5;Сибирский Федеральный округ;Республика Хакасия;Последствия травм спинного мозга;5,0;0,21;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни глаза;4,0;0,07;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни мочеполовой системы;5,0;0,1;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни опорно-двигательного аппарата;18,0;0,32;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни органов дыхания;5,0;0,09;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни органов пищеварения;2,0;0,04;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни системы кровообращения;66,0;1,21;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни уха;5,0;0,07;
2015;5;Южный Федеральный округ;Республика Калмыкия;Болезни эндокринной системы;21,0;0,41;
2015;5;Южный Федеральный округ;Республика Калмыкия;Последствия травм спинного мозга;4,0;0,13;
2015;6;Дальневосточный Федеральный округ;Амурская область;Болезни нервной системы;37,0;0,69;
2015;6;Дальневосточный Федеральный округ;Амурская область;Болезни опорно-двигательного аппарата;28,0;0,52;
2015;6;Дальневосточный Федеральный округ;Амурская область;Болезни органов дыхания;40,0;0,71;
2015;6;Дальневосточный Федеральный округ;Амурская область;Болезни системы кровообращения;65,0;1,2;
2015;6;Дальневосточный Федеральный округ;Амурская область;Общий;5,0;0,09;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни глаза;20,0;0,4;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни кожи и подкожной клетчатки;3,0;0,06;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни мочеполовой системы;16,0;0,31;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни нервной системы;124,0;2,53;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни опорно-двигательного аппарата;186,0;3,5;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни органов дыхания;66,0;1,21;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни органов пищеварения;30,0;0,56;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни системы кровообращения;697,0;12,93;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни уха;16,0;0,34;
2015;6;Дальневосточный Федеральный округ;Приморский край;Болезни эндокринной системы;70,0;1,42;
2015;6;Дальневосточный Федеральный округ;Приморский край;Общий;3,0;0,06;
2015;6;Дальневосточный Федеральный округ;Приморский край;Последствия травм спинного мозга;28,0;0,85;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни глаза;10,0;0,22;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни кожи и подкожной клетчатки;2,0;0,04;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни крови;4,0;0,09;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни мочеполовой системы;2,0;0,04;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни нервной системы;43,0;0,91;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни опорно-двигательного аппарата;75,0;1,59;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни органов дыхания;2,0;0,04;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни органов пищеварения;12,0;0,26;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни системы кровообращения;75,0;1,57;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни уха;7,0;0,15;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Болезни эндокринной системы;21,0;0,42;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Общий;14,0;0,28;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Последствия травм спинного мозга;15,0;0,52;
2015;6;Дальневосточный Федеральный округ;Хабаровский край;Психоневрологические заболевания;23,0;0,5;
2015;6;Приволжский Федеральный округ;Республика Марий Эл;Болезни нервной системы;1,0;0,01;
2015;6;Приволжский Федеральный округ;Республика Марий Эл;Болезни опорно-двигательного аппарата;6,0;0,11;
2015;6;Приволжский Федеральный округ;Республика Марий Эл;Болезни системы кровообращения;3,0;0,06;
2015;6;Приволжский Федеральный округ;Республика Марий Эл;Болезни эндокринной системы;3,0;0,06;
2015;6;Приволжский Федеральный округ;Республика Марий Эл;Многопрофильный;227,0;3,93;
2015;6;Приволжский Федеральный округ;Республика Марий Эл;Последствия травм спинного мозга;4,0;0,15;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни мочеполовой системы;3,0;0,06;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни нервной системы;174,0;4,14;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни опорно-двигательного аппарата;35,0;0,76;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни органов дыхания;32,0;0,68;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни органов пищеварения;31,0;0,64;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни системы кровообращения;32,0;0,72;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни уха;1,0;0,02;
2015;6;Приволжский Федеральный округ;Республика Мордовия;Болезни эндокринной системы;32,0;0,65;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни глаза;18,0;0,35;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни кожи и подкожной клетчатки;2,0;0,04;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни крови;2,0;0,04;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни мочеполовой системы;25,0;0,5;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни нервной системы;109,0;2,18;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни опорно-двигательного аппарата;137,0;2,63;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни органов дыхания;21,0;0,42;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни органов пищеварения;24,0;0,46;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни системы кровообращения;167,0;3,1;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни уха;14,0;0,3;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Болезни эндокринной системы;103,0;2,1;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Многопрофильный;588,0;13,4;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Общий;4,0;0,1;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Последствия травм головного мозга;50,0;1,23;
2015;6;Приволжский Федеральный округ;Удмуртская республика;Последствия травм спинного мозга;23,0;0,95;
2015;6;Приволжский Федеральный округ;Чувашская республика;Болезни глаза;4,0;0,07;
2015;6;Приволжский Федеральный округ;Чувашская республика;Болезни мочеполовой системы;2,0;0,04;
2015;6;Приволжский Федеральный округ;Чувашская республика;Болезни опорно-двигательного аппарата;4,0;0,08;
2015;6;Приволжский Федеральный округ;Чувашская республика;Болезни органов дыхания;3,0;0,06;
2015;6;Приволжский Федеральный округ;Чувашская республика;Болезни системы кровообращения;16,0;0,3;
2015;6;Приволжский Федеральный округ;Чувашская республика;Болезни уха;4,0;0,09;
2015;6;Приволжский Федеральный округ;Чувашская республика;Болезни эндокринной системы;1,0;0,02;
2015;6;Приволжский Федеральный округ;Чувашская республика;Многопрофильный;97,0;1,93;
2015;6;Приволжский Федеральный округ;Чувашская республика;Последствия травм спинного мозга;8,0;0,35;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни глаза;33,0;0,66;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни нервной системы;100,0;2,03;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни опорно-двигательного аппарата;175,0;3,97;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни органов дыхания;64,0;1,31;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни органов пищеварения;44,0;0,9;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни системы кровообращения;520,0;10,28;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни уха;23,0;0,5;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Болезни эндокринной системы;41,0;0,91;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Многопрофильный;59,0;1,15;
2015;6;Северо-Западный Федеральный округ;Республика Коми;Последствия травм спинного мозга;2,0;0,08;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни глаза;7,0;0,13;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни мочеполовой системы;6,0;0,11;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни нервной системы;17,0;0,36;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни опорно-двигательного аппарата;13,0;0,24;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни органов дыхания;46,0;0,91;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни органов пищеварения;53,0;0,98;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни системы кровообращения;95,0;1,76;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни уха;5,0;0,09;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни эндокринной системы;2,0;0,04;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Последствия травм спинного мозга;6,0;0,19;
2015;6;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Психоневрологические заболевания;11,0;0,22;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни глаза;44,0;0,87;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни мочеполовой системы;8,0;0,17;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни нервной системы;99,0;2,09;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни опорно-двигательного аппарата;106,0;2,14;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов дыхания;20,0;0,4;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов пищеварения;39,0;0,8;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни системы кровообращения;115,0;2,24;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни уха;32,0;0,65;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни эндокринной системы;23,0;0,46;
2015;6;Северо-Кавказский Федеральный округ;Чеченская республика;Многопрофильный;15,0;0,31;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни глаза;9,0;0,18;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни мочеполовой системы;2,0;0,04;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни нервной системы;55,0;1,29;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни опорно-двигательного аппарата;22,0;0,45;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни органов дыхания;4,0;0,08;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни органов пищеварения;26,0;0,53;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни системы кровообращения;53,0;1,16;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни уха;27,0;0,55;
2015;6;Сибирский Федеральный округ;Алтайский край;Болезни эндокринной системы;31,0;0,67;
2015;6;Сибирский Федеральный округ;Алтайский край;Многопрофильный;361,0;7,81;
2015;6;Сибирский Федеральный округ;Алтайский край;Последствия травм спинного мозга;20,0;0,72;
2015;6;Сибирский Федеральный округ;Республика Алтай;Болезни глаза;6,0;0,11;
2015;6;Сибирский Федеральный округ;Республика Алтай;Болезни опорно-двигательного аппарата;54,0;1,15;
2015;6;Сибирский Федеральный округ;Республика Алтай;Болезни органов дыхания;20,0;0,43;
2015;6;Сибирский Федеральный округ;Республика Алтай;Болезни органов пищеварения;6,0;0,13;
2015;6;Сибирский Федеральный округ;Республика Алтай;Болезни системы кровообращения;10,0;0,21;
2015;6;Сибирский Федеральный округ;Республика Алтай;Болезни уха;9,0;0,19;
2015;6;Сибирский Федеральный округ;Республика Алтай;Болезни эндокринной системы;13,0;0,28;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Болезни глаза;4,0;0,07;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Болезни нервной системы;2,0;0,04;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Болезни опорно-двигательного аппарата;7,0;0,1;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Болезни органов дыхания;4,0;0,08;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Болезни органов пищеварения;2,0;0,04;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Болезни системы кровообращения;39,0;0,86;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Болезни уха;5,0;0,1;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Последствия травм спинного мозга;1,0;0,05;
2015;6;Сибирский Федеральный округ;Республика Хакасия;Психоневрологические заболевания;4,0;0,08;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни глаза;8,0;0,14;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни мочеполовой системы;4,0;0,07;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни нервной системы;20,0;0,37;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни опорно-двигательного аппарата;20,0;0,37;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни органов пищеварения;2,0;0,04;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни системы кровообращения;79,0;1,45;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни уха;7,0;0,1;
2015;6;Южный Федеральный округ;Республика Калмыкия;Болезни эндокринной системы;29,0;0,58;
2015;6;Южный Федеральный округ;Республика Калмыкия;Последствия травм спинного мозга;4,0;0,13;
2015;6;Южный Федеральный округ;Республика Калмыкия;Психоневрологические заболевания;2,0;0,04;
2015;7;Дальневосточный Федеральный округ;Амурская область;Болезни нервной системы;127,0;2,92;
2015;7;Дальневосточный Федеральный округ;Амурская область;Болезни опорно-двигательного аппарата;38,0;0,72;
2015;7;Дальневосточный Федеральный округ;Амурская область;Болезни органов дыхания;42,0;0,77;
2015;7;Дальневосточный Федеральный округ;Амурская область;Болезни системы кровообращения;134,0;2,48;
2015;7;Дальневосточный Федеральный округ;Амурская область;Общий;75,0;2,13;
2015;7;Дальневосточный Федеральный округ;Амурская область;Последствия травм головного мозга;8,0;0,42;
2015;7;Дальневосточный Федеральный округ;Амурская область;Последствия травм спинного мозга;91,0;4,84;
2015;7;Дальневосточный Федеральный округ;Амурская область;Психоневрологические заболевания;4,0;0,09;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни глаза;27,0;0,5;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни кожи и подкожной клетчатки;5,0;0,1;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни крови;2,0;0,04;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни мочеполовой системы;7,0;0,13;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни нервной системы;142,0;2,75;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни опорно-двигательного аппарата;278,0;5,18;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни органов дыхания;56,0;1,02;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни органов пищеварения;32,0;0,61;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни системы кровообращения;1435,0;26,51;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни уха;2,0;0,04;
2015;7;Дальневосточный Федеральный округ;Приморский край;Болезни эндокринной системы;44,0;0,87;
2015;7;Дальневосточный Федеральный округ;Приморский край;Последствия травм спинного мозга;18,0;0,54;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни глаза;21,0;0,4;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни мочеполовой системы;4,0;0,09;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни нервной системы;45,0;0,93;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни опорно-двигательного аппарата;94,0;2,0;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни органов дыхания;11,0;0,21;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни системы кровообращения;92,0;1,93;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни уха;9,0;0,19;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Болезни эндокринной системы;19,0;0,41;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Общий;4,0;0,08;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Последствия травм спинного мозга;7,0;0,24;
2015;7;Дальневосточный Федеральный округ;Хабаровский край;Психоневрологические заболевания;29,0;0,62;
2015;7;Приволжский Федеральный округ;Республика Марий Эл;Болезни нервной системы;6,0;0,12;
2015;7;Приволжский Федеральный округ;Республика Марий Эл;Болезни опорно-двигательного аппарата;10,0;0,18;
2015;7;Приволжский Федеральный округ;Республика Марий Эл;Болезни органов дыхания;3,0;0,05;
2015;7;Приволжский Федеральный округ;Республика Марий Эл;Болезни системы кровообращения;5,0;0,09;
2015;7;Приволжский Федеральный округ;Республика Марий Эл;Болезни эндокринной системы;4,0;0,08;
2015;7;Приволжский Федеральный округ;Республика Марий Эл;Многопрофильный;248,0;4,2;
2015;7;Приволжский Федеральный округ;Республика Марий Эл;Последствия травм спинного мозга;6,0;0,22;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни кожи и подкожной клетчатки;2,0;0,04;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни мочеполовой системы;2,0;0,04;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни нервной системы;186,0;4,2;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни опорно-двигательного аппарата;61,0;1,29;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни органов дыхания;39,0;0,82;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни органов пищеварения;48,0;1,03;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни системы кровообращения;125,0;2,54;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни уха;2,0;0,04;
2015;7;Приволжский Федеральный округ;Республика Мордовия;Болезни эндокринной системы;25,0;0,52;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни глаза;31,0;0,62;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни кожи и подкожной клетчатки;3,0;0,06;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни мочеполовой системы;20,0;0,38;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни нервной системы;156,0;3,08;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни опорно-двигательного аппарата;202,0;3,89;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни органов дыхания;69,0;1,32;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни органов пищеварения;44,0;0,84;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни системы кровообращения;225,0;4,13;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни уха;32,0;0,68;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Болезни эндокринной системы;78,0;1,56;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Многопрофильный;472,0;10,18;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Общий;3,0;0,07;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Последствия травм головного мозга;15,0;0,43;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Последствия травм спинного мозга;38,0;1,68;
2015;7;Приволжский Федеральный округ;Удмуртская республика;Психоневрологические заболевания;2,0;0,04;
2015;7;Приволжский Федеральный округ;Чувашская республика;Болезни нервной системы;4,0;0,08;
2015;7;Приволжский Федеральный округ;Чувашская республика;Болезни органов дыхания;5,0;0,09;
2015;7;Приволжский Федеральный округ;Чувашская республика;Болезни системы кровообращения;17,0;0,31;
2015;7;Приволжский Федеральный округ;Чувашская республика;Болезни эндокринной системы;2,0;0,04;
2015;7;Приволжский Федеральный округ;Чувашская республика;Многопрофильный;66,0;1,31;
2015;7;Приволжский Федеральный округ;Чувашская республика;Последствия травм спинного мозга;2,0;0,11;
2015;7;Северо-Западный Федеральный округ;Архангельская область;Болезни системы кровообращения;139,0;2,5;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни глаза;10,0;0,18;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни крови;5,0;0,1;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни мочеполовой системы;2,0;0,04;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни нервной системы;182,0;3,91;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни опорно-двигательного аппарата;338,0;7,37;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни органов дыхания;119,0;2,37;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни органов пищеварения;52,0;1,08;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни системы кровообращения;396,0;8,05;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни уха;19,0;0,38;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Болезни эндокринной системы;57,0;1,3;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Многопрофильный;71,0;1,51;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Общий;7,0;0,19;
2015;7;Северо-Западный Федеральный округ;Республика Коми;Последствия травм спинного мозга;23,0;0,88;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни глаза;3,0;0,05;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни мочеполовой системы;8,0;0,16;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни нервной системы;20,0;0,39;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни опорно-двигательного аппарата;4,0;0,07;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни органов дыхания;39,0;0,74;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни органов пищеварения;17,0;0,31;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Болезни системы кровообращения;86,0;1,61;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Последствия травм спинного мозга;2,0;0,06;
2015;7;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;Психоневрологические заболевания;1,0;0,02;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни глаза;32,0;0,62;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни мочеполовой системы;7,0;0,15;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни нервной системы;138,0;2,7;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни опорно-двигательного аппарата;110,0;2,29;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов дыхания;31,0;0,63;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни органов пищеварения;22,0;0,44;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни системы кровообращения;131,0;2,55;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни уха;28,0;0,58;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Болезни эндокринной системы;31,0;0,67;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Многопрофильный;18,0;0,39;
2015;7;Северо-Кавказский Федеральный округ;Чеченская республика;Последствия травм спинного мозга;10,0;0,53;
2015;7;Сибирский Федеральный округ;Алтайский край;Болезни глаза;25,0;0,49;
2015;7;Сибирский Федеральный округ;Алтайский край;Болезни мочеполовой системы;4,0;0,08;
2015;7;Сибирский Федеральный округ;Алтайский край;Болезни нервной системы;45,0;0,94;
