Год;Месяц;Федеральный округ;Регион;Число детей;Количество детей, чел. ;
2016;4;Приволжский Федеральный округ;Республика Татарстан;1й ребенок;1696,0;
2016;4;Приволжский Федеральный округ;Республика Татарстан;2й и более ребенок;2630,0;
2016;4;Приволжский Федеральный округ;Самарская область;1й ребенок;1218,0;
2016;4;Приволжский Федеральный округ;Самарская область;2й и более ребенок;1854,0;
2016;4;Приволжский Федеральный округ;Саратовская область;1й ребенок;849,0;
2016;4;Приволжский Федеральный округ;Саратовская область;2й и более ребенок;1357,0;
2016;4;Приволжский Федеральный округ;Удмуртская республика;1й ребенок;623,0;
2016;4;Приволжский Федеральный округ;Удмуртская республика;2й и более ребенок;1120,0;
2016;4;Приволжский Федеральный округ;Ульяновская область;1й ребенок;452,0;
2016;4;Приволжский Федеральный округ;Ульяновская область;2й и более ребенок;629,0;
2016;4;Приволжский Федеральный округ;Чувашская республика;1й ребенок;453,0;
2016;4;Приволжский Федеральный округ;Чувашская республика;2й и более ребенок;858,0;
2016;4;Северо-Западный Федеральный округ;Архангельская область;1й ребенок;456,0;
2016;4;Северо-Западный Федеральный округ;Архангельская область;2й и более ребенок;633,0;
2016;4;Северо-Западный Федеральный округ;Вологодская область;1й ребенок;445,0;
2016;4;Северо-Западный Федеральный округ;Вологодская область;2й и более ребенок;888,0;
2016;4;Северо-Западный Федеральный округ;Калининградская область;1й ребенок;380,0;
2016;4;Северо-Западный Федеральный округ;Калининградская область;2й и более ребенок;588,0;
2016;4;Северо-Западный Федеральный округ;Ленинградская область;1й ребенок;463,0;
2016;4;Северо-Западный Федеральный округ;Ленинградская область;2й и более ребенок;795,0;
2016;4;Северо-Западный Федеральный округ;Мурманская область;1й ребенок;260,0;
2016;4;Северо-Западный Федеральный округ;Мурманская область;2й и более ребенок;404,0;
2016;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;1й ребенок;17,0;
2016;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;2й и более ребенок;47,0;
2016;4;Северо-Западный Федеральный округ;Новгородская область;1й ребенок;223,0;
2016;4;Северо-Западный Федеральный округ;Новгородская область;2й и более ребенок;399,0;
2016;4;Северо-Западный Федеральный округ;Псковская область;1й ребенок;209,0;
2016;4;Северо-Западный Федеральный округ;Псковская область;2й и более ребенок;369,0;
2016;4;Северо-Западный Федеральный округ;Республика Карелия;1й ребенок;216,0;
2016;4;Северо-Западный Федеральный округ;Республика Карелия;2й и более ребенок;407,0;
2016;4;Северо-Западный Федеральный округ;Республика Коми;1й ребенок;357,0;
2016;4;Северо-Западный Федеральный округ;Республика Коми;2й и более ребенок;605,0;
2016;4;Северо-Западный Федеральный округ;Санкт-Петербург;1й ребенок;2315,0;
2016;4;Северо-Западный Федеральный округ;Санкт-Петербург;2й и более ребенок;2026,0;
2016;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;1й ребенок;264,0;
2016;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;2й и более ребенок;681,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Дагестан;1й ребенок;1140,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Дагестан;2й и более ребенок;2616,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;1й ребенок;458,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;2й и более ребенок;124,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;1й ребенок;118,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;2й и более ребенок;243,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;1й ребенок;261,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;2й и более ребенок;528,0;
2016;4;Северо-Кавказский Федеральный округ;Ставропольский край;1й ребенок;1260,0;
2016;4;Северо-Кавказский Федеральный округ;Ставропольский край;2й и более ребенок;1486,0;
2016;4;Северо-Кавказский Федеральный округ;Чеченская республика;1й ребенок;411,0;
2016;4;Северо-Кавказский Федеральный округ;Чеченская республика;2й и более ребенок;1543,0;
2016;4;Сибирский Федеральный округ;Алтайский край;1й ребенок;834,0;
2016;4;Сибирский Федеральный округ;Алтайский край;2й и более ребенок;1579,0;
2016;4;Сибирский Федеральный округ;Забайкальский край;1й ребенок;442,0;
2016;4;Сибирский Федеральный округ;Забайкальский край;2й и более ребенок;875,0;
2016;4;Сибирский Федеральный округ;Иркутская область;1й ребенок;1040,0;
2016;4;Сибирский Федеральный округ;Иркутская область;2й и более ребенок;1821,0;
2016;4;Сибирский Федеральный округ;Кемеровская область;1й ребенок;820,0;
2016;4;Сибирский Федеральный округ;Кемеровская область;2й и более ребенок;1757,0;
2016;4;Сибирский Федеральный округ;Красноярский край;1й ребенок;1682,0;
2016;4;Сибирский Федеральный округ;Красноярский край;2й и более ребенок;1650,0;
2016;4;Сибирский Федеральный округ;Новосибирская область;1й ребенок;1231,0;
2016;4;Сибирский Федеральный округ;Новосибирская область;2й и более ребенок;1839,0;
2016;4;Сибирский Федеральный округ;Омская область;1й ребенок;778,0;
2016;4;Сибирский Федеральный округ;Омская область;2й и более ребенок;1411,0;
2016;4;Сибирский Федеральный округ;Республика Алтай;1й ребенок;113,0;
2016;4;Сибирский Федеральный округ;Республика Алтай;2й и более ребенок;228,0;
2016;4;Сибирский Федеральный округ;Республика Бурятия;1й ребенок;514,0;
2016;4;Сибирский Федеральный округ;Республика Бурятия;2й и более ребенок;765,0;
2016;4;Сибирский Федеральный округ;Республика Тыва;1й ребенок;191,0;
2016;4;Сибирский Федеральный округ;Республика Тыва;2й и более ребенок;435,0;
2016;4;Сибирский Федеральный округ;Республика Хакасия;1й ребенок;227,0;
2016;4;Сибирский Федеральный округ;Республика Хакасия;2й и более ребенок;399,0;
2016;4;Сибирский Федеральный округ;Томская область;1й ребенок;394,0;
2016;4;Сибирский Федеральный округ;Томская область;2й и более ребенок;745,0;
2016;4;Уральский Федеральный округ;Курганская область;1й ребенок;282,0;
2016;4;Уральский Федеральный округ;Курганская область;2й и более ребенок;599,0;
2016;4;Уральский Федеральный округ;Свердловская область;1й ребенок;1783,0;
2016;4;Уральский Федеральный округ;Свердловская область;2й и более ребенок;3027,0;
2016;4;Уральский Федеральный округ;Тюменская область;1й ребенок;686,0;
2016;4;Уральский Федеральный округ;Тюменская область;2й и более ребенок;1125,0;
2016;4;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;1й ребенок;700,0;
2016;4;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;2й и более ребенок;1279,0;
2016;4;Уральский Федеральный округ;Челябинская область;1й ребенок;1335,0;
2016;4;Уральский Федеральный округ;Челябинская область;2й и более ребенок;2231,0;
2016;4;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;1й ребенок;217,0;
2016;4;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;2й и более ребенок;460,0;
2016;4;Центральный Федеральный округ;Белгородская область;1й ребенок;566,0;
2016;4;Центральный Федеральный округ;Белгородская область;2й и более ребенок;838,0;
2016;4;Центральный Федеральный округ;Брянская область;1й ребенок;442,0;
2016;4;Центральный Федеральный округ;Брянская область;2й и более ребенок;626,0;
2016;4;Центральный Федеральный округ;Владимирская область;1й ребенок;445,0;
2016;4;Центральный Федеральный округ;Владимирская область;2й и более ребенок;779,0;
2016;4;Центральный Федеральный округ;Воронежская область;1й ребенок;790,0;
2016;4;Центральный Федеральный округ;Воронежская область;2й и более ребенок;1116,0;
2016;4;Центральный Федеральный округ;Ивановская область;1й ребенок;371,0;
2016;4;Центральный Федеральный округ;Ивановская область;2й и более ребенок;605,0;
2016;4;Центральный Федеральный округ;Калужская область;1й ребенок;361,0;
2016;4;Центральный Федеральный округ;Калужская область;2й и более ребенок;585,0;
2016;4;Центральный Федеральный округ;Костромская область;1й ребенок;209,0;
2016;4;Центральный Федеральный округ;Костромская область;2й и более ребенок;390,0;
2016;4;Центральный Федеральный округ;Курская область;1й ребенок;404,0;
2016;4;Центральный Федеральный округ;Курская область;2й и более ребенок;626,0;
2016;4;Центральный Федеральный округ;Липецкая область;1й ребенок;439,0;
2016;4;Центральный Федеральный округ;Липецкая область;2й и более ребенок;634,0;
2016;4;Центральный Федеральный округ;Москва;1й ребенок;5143,0;
2016;4;Центральный Федеральный округ;Москва;2й и более ребенок;4836,0;
2016;4;Центральный Федеральный округ;Московская область;1й ребенок;2850,0;
2016;4;Центральный Федеральный округ;Московская область;2й и более ребенок;3523,0;
2016;4;Центральный Федеральный округ;Орловская область;1й ребенок;267,0;
2016;4;Центральный Федеральный округ;Орловская область;2й и более ребенок;407,0;
2016;4;Центральный Федеральный округ;Рязанская область;1й ребенок;384,0;
2016;4;Центральный Федеральный округ;Рязанская область;2й и более ребенок;624,0;
2016;4;Центральный Федеральный округ;Смоленская область;1й ребенок;334,0;
2016;4;Центральный Федеральный округ;Смоленская область;2й и более ребенок;500,0;
2016;4;Центральный Федеральный округ;Тамбовская область;1й ребенок;303,0;
2016;4;Центральный Федеральный округ;Тамбовская область;2й и более ребенок;484,0;
2016;4;Центральный Федеральный округ;Тверская область;1й ребенок;400,0;
2016;4;Центральный Федеральный округ;Тверская область;2й и более ребенок;730,0;
2016;4;Центральный Федеральный округ;Тульская область;1й ребенок;541,0;
2016;4;Центральный Федеральный округ;Тульская область;2й и более ребенок;686,0;
2016;4;Центральный Федеральный округ;Ярославская область;1й ребенок;508,0;
2016;4;Центральный Федеральный округ;Ярославская область;2й и более ребенок;685,0;
2016;4;Южный Федеральный округ;Астраханская область;1й ребенок;383,0;
2016;4;Южный Федеральный округ;Астраханская область;2й и более ребенок;747,0;
2016;4;Южный Федеральный округ;Волгоградская область;1й ребенок;826,0;
2016;4;Южный Федеральный округ;Волгоградская область;2й и более ребенок;1404,0;
2016;4;Южный Федеральный округ;Краснодарский край;1й ребенок;2363,0;
2016;4;Южный Федеральный округ;Краснодарский край;2й и более ребенок;3147,0;
2016;4;Южный Федеральный округ;Республика Адыгея;1й ребенок;114,0;
2016;4;Южный Федеральный округ;Республика Адыгея;2й и более ребенок;261,0;
2016;4;Южный Федеральный округ;Республика Калмыкия;1й ребенок;66,0;
2016;4;Южный Федеральный округ;Республика Калмыкия;2й и более ребенок;172,0;
2016;4;Южный Федеральный округ;Республика Крым;1й ребенок;640,0;
2016;4;Южный Федеральный округ;Республика Крым;2й и более ребенок;988,0;
2016;4;Южный Федеральный округ;Ростовская область;1й ребенок;1641,0;
2016;4;Южный Федеральный округ;Ростовская область;2й и более ребенок;1917,0;
2016;4;Южный Федеральный округ;Севастополь;1й ребенок;182,0;
2016;4;Южный Федеральный округ;Севастополь;2й и более ребенок;211,0;
2016;5;Дальневосточный Федеральный округ;Амурская область;1й ребенок;361,0;
2016;5;Дальневосточный Федеральный округ;Амурская область;2й и более ребенок;445,0;
2016;5;Дальневосточный Федеральный округ;Еврейская автономная область;1й ребенок;50,0;
2016;5;Дальневосточный Федеральный округ;Еврейская автономная область;2й и более ребенок;92,0;
2016;5;Дальневосточный Федеральный округ;Камчатский край;1й ребенок;155,0;
2016;5;Дальневосточный Федеральный округ;Камчатский край;2й и более ребенок;188,0;
2016;5;Дальневосточный Федеральный округ;Магаданская область;1й ребенок;54,0;
2016;5;Дальневосточный Федеральный округ;Магаданская область;2й и более ребенок;71,0;
2016;5;Дальневосточный Федеральный округ;Приморский край;1й ребенок;642,0;
2016;5;Дальневосточный Федеральный округ;Приморский край;2й и более ребенок;1128,0;
2016;5;Дальневосточный Федеральный округ;Республика Саха (Якутия);1й ребенок;411,0;
2016;5;Дальневосточный Федеральный округ;Республика Саха (Якутия);2й и более ребенок;839,0;
2016;5;Дальневосточный Федеральный округ;Сахалинская область;1й ребенок;208,0;
2016;5;Дальневосточный Федеральный округ;Сахалинская область;2й и более ребенок;344,0;
2016;5;Дальневосточный Федеральный округ;Хабаровский край;1й ребенок;506,0;
2016;5;Дальневосточный Федеральный округ;Хабаровский край;2й и более ребенок;721,0;
2016;5;Дальневосточный Федеральный округ;Чукотский автономный округ;1й ребенок;24,0;
2016;5;Дальневосточный Федеральный округ;Чукотский автономный округ;2й и более ребенок;24,0;
2016;5;Приволжский Федеральный округ;Кировская область;1й ребенок;551,0;
2016;5;Приволжский Федеральный округ;Кировская область;2й и более ребенок;971,0;
2016;5;Приволжский Федеральный округ;Нижегородская область;1й ребенок;1352,0;
2016;5;Приволжский Федеральный округ;Нижегородская область;2й и более ребенок;1941,0;
2016;5;Приволжский Федеральный округ;Оренбургская область;1й ребенок;815,0;
2016;5;Приволжский Федеральный округ;Оренбургская область;2й и более ребенок;1535,0;
2016;5;Приволжский Федеральный округ;Пензенская область;1й ребенок;492,0;
2016;5;Приволжский Федеральный округ;Пензенская область;2й и более ребенок;731,0;
2016;5;Приволжский Федеральный округ;Пермский край;1й ребенок;1093,0;
2016;5;Приволжский Федеральный округ;Пермский край;2й и более ребенок;2189,0;
2016;5;Приволжский Федеральный округ;Республика Башкортостан;1й ребенок;1691,0;
2016;5;Приволжский Федеральный округ;Республика Башкортостан;2й и более ребенок;3055,0;
2016;5;Приволжский Федеральный округ;Республика Марий Эл;1й ребенок;302,0;
2016;5;Приволжский Федеральный округ;Республика Марий Эл;2й и более ребенок;567,0;
2016;5;Приволжский Федеральный округ;Республика Мордовия;1й ребенок;237,0;
2016;5;Приволжский Федеральный округ;Республика Мордовия;2й и более ребенок;424,0;
2016;5;Приволжский Федеральный округ;Республика Татарстан;1й ребенок;1915,0;
2016;5;Приволжский Федеральный округ;Республика Татарстан;2й и более ребенок;2853,0;
2016;5;Приволжский Федеральный округ;Самарская область;1й ребенок;1297,0;
2016;5;Приволжский Федеральный округ;Самарская область;2й и более ребенок;2057,0;
2016;5;Приволжский Федеральный округ;Саратовская область;1й ребенок;893,0;
2016;5;Приволжский Федеральный округ;Саратовская область;2й и более ребенок;1404,0;
2016;5;Приволжский Федеральный округ;Удмуртская республика;1й ребенок;628,0;
2016;5;Приволжский Федеральный округ;Удмуртская республика;2й и более ребенок;1188,0;
2016;5;Приволжский Федеральный округ;Ульяновская область;1й ребенок;439,0;
2016;5;Приволжский Федеральный округ;Ульяновская область;2й и более ребенок;791,0;
2016;5;Приволжский Федеральный округ;Чувашская республика;1й ребенок;526,0;
2016;5;Приволжский Федеральный округ;Чувашская республика;2й и более ребенок;920,0;
2016;5;Северо-Западный Федеральный округ;Архангельская область;1й ребенок;413,0;
2016;5;Северо-Западный Федеральный округ;Архангельская область;2й и более ребенок;701,0;
2016;5;Северо-Западный Федеральный округ;Вологодская область;1й ребенок;471,0;
2016;5;Северо-Западный Федеральный округ;Вологодская область;2й и более ребенок;957,0;
2016;5;Северо-Западный Федеральный округ;Калининградская область;1й ребенок;389,0;
2016;5;Северо-Западный Федеральный округ;Калининградская область;2й и более ребенок;621,0;
2016;5;Северо-Западный Федеральный округ;Ленинградская область;1й ребенок;467,0;
2016;5;Северо-Западный Федеральный округ;Ленинградская область;2й и более ребенок;832,0;
2016;5;Северо-Западный Федеральный округ;Мурманская область;1й ребенок;252,0;
2016;5;Северо-Западный Федеральный округ;Мурманская область;2й и более ребенок;422,0;
2016;5;Северо-Западный Федеральный округ;Ненецкий автономный округ;1й ребенок;16,0;
2016;5;Северо-Западный Федеральный округ;Ненецкий автономный округ;2й и более ребенок;38,0;
2016;5;Северо-Западный Федеральный округ;Новгородская область;1й ребенок;199,0;
2016;5;Северо-Западный Федеральный округ;Новгородская область;2й и более ребенок;389,0;
2016;5;Северо-Западный Федеральный округ;Псковская область;1й ребенок;224,0;
2016;5;Северо-Западный Федеральный округ;Псковская область;2й и более ребенок;361,0;
2016;5;Северо-Западный Федеральный округ;Республика Карелия;1й ребенок;232,0;
2016;5;Северо-Западный Федеральный округ;Республика Карелия;2й и более ребенок;460,0;
2016;5;Северо-Западный Федеральный округ;Республика Коми;1й ребенок;395,0;
2016;5;Северо-Западный Федеральный округ;Республика Коми;2й и более ребенок;579,0;
2016;5;Северо-Западный Федеральный округ;Санкт-Петербург;1й ребенок;2238,0;
2016;5;Северо-Западный Федеральный округ;Санкт-Петербург;2й и более ребенок;2264,0;
2016;5;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;1й ребенок;293,0;
2016;5;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;2й и более ребенок;718,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Дагестан;1й ребенок;1344,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Дагестан;2й и более ребенок;2639,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Ингушетия;1й ребенок;451,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Ингушетия;2й и более ребенок;83,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;1й ребенок;152,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;2й и более ребенок;240,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;1й ребенок;249,0;
2016;5;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;2й и более ребенок;468,0;
2016;5;Северо-Кавказский Федеральный округ;Ставропольский край;1й ребенок;1388,0;
2016;5;Северо-Кавказский Федеральный округ;Ставропольский край;2й и более ребенок;1608,0;
2016;5;Северо-Кавказский Федеральный округ;Чеченская республика;1й ребенок;490,0;
2016;5;Северо-Кавказский Федеральный округ;Чеченская республика;2й и более ребенок;1692,0;
2016;5;Сибирский Федеральный округ;Алтайский край;1й ребенок;776,0;
2016;5;Сибирский Федеральный округ;Алтайский край;2й и более ребенок;1532,0;
2016;5;Сибирский Федеральный округ;Забайкальский край;1й ребенок;462,0;
2016;5;Сибирский Федеральный округ;Забайкальский край;2й и более ребенок;829,0;
2016;5;Сибирский Федеральный округ;Иркутская область;1й ребенок;1023,0;
2016;5;Сибирский Федеральный округ;Иркутская область;2й и более ребенок;1803,0;
2016;5;Сибирский Федеральный округ;Кемеровская область;1й ребенок;884,0;
2016;5;Сибирский Федеральный округ;Кемеровская область;2й и более ребенок;1663,0;
2016;5;Сибирский Федеральный округ;Красноярский край;1й ребенок;1697,0;
2016;5;Сибирский Федеральный округ;Красноярский край;2й и более ребенок;1620,0;
2016;5;Сибирский Федеральный округ;Новосибирская область;1й ребенок;1184,0;
2016;5;Сибирский Федеральный округ;Новосибирская область;2й и более ребенок;1859,0;
2016;5;Сибирский Федеральный округ;Омская область;1й ребенок;847,0;
2016;5;Сибирский Федеральный округ;Омская область;2й и более ребенок;1385,0;
2016;5;Сибирский Федеральный округ;Республика Алтай;1й ребенок;103,0;
2016;5;Сибирский Федеральный округ;Республика Алтай;2й и более ребенок;225,0;
2016;5;Сибирский Федеральный округ;Республика Бурятия;1й ребенок;487,0;
2016;5;Сибирский Федеральный округ;Республика Бурятия;2й и более ребенок;735,0;
2016;5;Сибирский Федеральный округ;Республика Тыва;1й ребенок;147,0;
2016;5;Сибирский Федеральный округ;Республика Тыва;2й и более ребенок;423,0;
2016;5;Сибирский Федеральный округ;Республика Хакасия;1й ребенок;229,0;
2016;5;Сибирский Федеральный округ;Республика Хакасия;2й и более ребенок;418,0;
2016;5;Сибирский Федеральный округ;Томская область;1й ребенок;469,0;
2016;5;Сибирский Федеральный округ;Томская область;2й и более ребенок;777,0;
2016;5;Уральский Федеральный округ;Курганская область;1й ребенок;276,0;
2016;5;Уральский Федеральный округ;Курганская область;2й и более ребенок;645,0;
2016;5;Уральский Федеральный округ;Свердловская область;1й ребенок;1852,0;
2016;5;Уральский Федеральный округ;Свердловская область;2й и более ребенок;3321,0;
2016;5;Уральский Федеральный округ;Тюменская область;1й ребенок;725,0;
2016;5;Уральский Федеральный округ;Тюменская область;2й и более ребенок;1183,0;
2016;5;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;1й ребенок;729,0;
2016;5;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;2й и более ребенок;1421,0;
2016;5;Уральский Федеральный округ;Челябинская область;1й ребенок;1445,0;
2016;5;Уральский Федеральный округ;Челябинская область;2й и более ребенок;2560,0;
2016;5;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;1й ребенок;261,0;
2016;5;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;2й и более ребенок;413,0;
2016;5;Центральный Федеральный округ;Белгородская область;1й ребенок;574,0;
2016;5;Центральный Федеральный округ;Белгородская область;2й и более ребенок;813,0;
2016;5;Центральный Федеральный округ;Брянская область;1й ребенок;418,0;
2016;5;Центральный Федеральный округ;Брянская область;2й и более ребенок;675,0;
2016;5;Центральный Федеральный округ;Владимирская область;1й ребенок;469,0;
2016;5;Центральный Федеральный округ;Владимирская область;2й и более ребенок;791,0;
2016;5;Центральный Федеральный округ;Воронежская область;1й ребенок;893,0;
2016;5;Центральный Федеральный округ;Воронежская область;2й и более ребенок;1230,0;
2016;5;Центральный Федеральный округ;Ивановская область;1й ребенок;379,0;
2016;5;Центральный Федеральный округ;Ивановская область;2й и более ребенок;621,0;
2016;5;Центральный Федеральный округ;Калужская область;1й ребенок;398,0;
2016;5;Центральный Федеральный округ;Калужская область;2й и более ребенок;662,0;
2016;5;Центральный Федеральный округ;Костромская область;1й ребенок;199,0;
2016;5;Центральный Федеральный округ;Костромская область;2й и более ребенок;376,0;
2016;5;Центральный Федеральный округ;Курская область;1й ребенок;368,0;
2016;5;Центральный Федеральный округ;Курская область;2й и более ребенок;595,0;
2016;5;Центральный Федеральный округ;Липецкая область;1й ребенок;463,0;
2016;5;Центральный Федеральный округ;Липецкая область;2й и более ребенок;658,0;
2016;5;Центральный Федеральный округ;Москва;1й ребенок;5325,0;
2016;5;Центральный Федеральный округ;Москва;2й и более ребенок;5006,0;
2016;5;Центральный Федеральный округ;Московская область;1й ребенок;3005,0;
2016;5;Центральный Федеральный округ;Московская область;2й и более ребенок;3534,0;
2016;5;Центральный Федеральный округ;Орловская область;1й ребенок;307,0;
2016;5;Центральный Федеральный округ;Орловская область;2й и более ребенок;406,0;
2016;5;Центральный Федеральный округ;Рязанская область;1й ребенок;436,0;
2016;5;Центральный Федеральный округ;Рязанская область;2й и более ребенок;622,0;
2016;5;Центральный Федеральный округ;Смоленская область;1й ребенок;342,0;
2016;5;Центральный Федеральный округ;Смоленская область;2й и более ребенок;511,0;
2016;5;Центральный Федеральный округ;Тамбовская область;1й ребенок;327,0;
2016;5;Центральный Федеральный округ;Тамбовская область;2й и более ребенок;476,0;
2016;5;Центральный Федеральный округ;Тверская область;1й ребенок;468,0;
2016;5;Центральный Федеральный округ;Тверская область;2й и более ребенок;664,0;
2016;5;Центральный Федеральный округ;Тульская область;1й ребенок;538,0;
2016;5;Центральный Федеральный округ;Тульская область;2й и более ребенок;780,0;
2016;5;Центральный Федеральный округ;Ярославская область;1й ребенок;522,0;
2016;5;Центральный Федеральный округ;Ярославская область;2й и более ребенок;805,0;
2016;5;Южный Федеральный округ;Астраханская область;1й ребенок;391,0;
2016;5;Южный Федеральный округ;Астраханская область;2й и более ребенок;687,0;
2016;5;Южный Федеральный округ;Волгоградская область;1й ребенок;818,0;
2016;5;Южный Федеральный округ;Волгоградская область;2й и более ребенок;1485,0;
2016;5;Южный Федеральный округ;Краснодарский край;1й ребенок;2374,0;
2016;5;Южный Федеральный округ;Краснодарский край;2й и более ребенок;3220,0;
2016;5;Южный Федеральный округ;Республика Адыгея;1й ребенок;100,0;
2016;5;Южный Федеральный округ;Республика Адыгея;2й и более ребенок;230,0;
2016;5;Южный Федеральный округ;Республика Калмыкия;1й ребенок;87,0;
2016;5;Южный Федеральный округ;Республика Калмыкия;2й и более ребенок;169,0;
2016;5;Южный Федеральный округ;Республика Крым;1й ребенок;682,0;
2016;5;Южный Федеральный округ;Республика Крым;2й и более ребенок;879,0;
2016;5;Южный Федеральный округ;Ростовская область;1й ребенок;1708,0;
2016;5;Южный Федеральный округ;Ростовская область;2й и более ребенок;2098,0;
2016;5;Южный Федеральный округ;Севастополь;1й ребенок;177,0;
2016;5;Южный Федеральный округ;Севастополь;2й и более ребенок;197,0;
2016;6;Дальневосточный Федеральный округ;Амурская область;1й ребенок;373,0;
2016;6;Дальневосточный Федеральный округ;Амурская область;2й и более ребенок;476,0;
2016;6;Дальневосточный Федеральный округ;Еврейская автономная область;1й ребенок;74,0;
2016;6;Дальневосточный Федеральный округ;Еврейская автономная область;2й и более ребенок;128,0;
2016;6;Дальневосточный Федеральный округ;Камчатский край;1й ребенок;139,0;
2016;6;Дальневосточный Федеральный округ;Камчатский край;2й и более ребенок;229,0;
2016;6;Дальневосточный Федеральный округ;Магаданская область;1й ребенок;54,0;
2016;6;Дальневосточный Федеральный округ;Магаданская область;2й и более ребенок;78,0;
2016;6;Дальневосточный Федеральный округ;Приморский край;1й ребенок;710,0;
2016;6;Дальневосточный Федеральный округ;Приморский край;2й и более ребенок;1191,0;
2016;6;Дальневосточный Федеральный округ;Республика Саха (Якутия);1й ребенок;415,0;
2016;6;Дальневосточный Федеральный округ;Республика Саха (Якутия);2й и более ребенок;896,0;
2016;6;Дальневосточный Федеральный округ;Сахалинская область;1й ребенок;230,0;
2016;6;Дальневосточный Федеральный округ;Сахалинская область;2й и более ребенок;353,0;
2016;6;Дальневосточный Федеральный округ;Хабаровский край;1й ребенок;494,0;
2016;6;Дальневосточный Федеральный округ;Хабаровский край;2й и более ребенок;842,0;
2016;6;Дальневосточный Федеральный округ;Чукотский автономный округ;1й ребенок;20,0;
2016;6;Дальневосточный Федеральный округ;Чукотский автономный округ;2й и более ребенок;35,0;
2016;6;Приволжский Федеральный округ;Кировская область;1й ребенок;570,0;
2016;6;Приволжский Федеральный округ;Кировская область;2й и более ребенок;966,0;
2016;6;Приволжский Федеральный округ;Нижегородская область;1й ребенок;1317,0;
2016;6;Приволжский Федеральный округ;Нижегородская область;2й и более ребенок;2020,0;
2016;6;Приволжский Федеральный округ;Оренбургская область;1й ребенок;860,0;
2016;6;Приволжский Федеральный округ;Оренбургская область;2й и более ребенок;1587,0;
2016;6;Приволжский Федеральный округ;Пензенская область;1й ребенок;535,0;
2016;6;Приволжский Федеральный округ;Пензенская область;2й и более ребенок;790,0;
